,name,sample,county,species,filename,pair,SB,SequenceName,ClusterNumber,clade
214,4789,4789,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4789_S93_L001-4_R1_001.fastq.gz,1,SB0142,4789,6,Monaghan-3
215,4792,4792,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4792_S11_L001-4_R2_001.fastq.gz,1,SB0142,4792,6,Monaghan-3
216,4794,4794,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4794_S73_L001-4_R1_001.fastq.gz,1,SB0140,4794,3,Monaghan-2
217,4798,4798,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4798_S58_L001-4_R2_001.fastq.gz,1,SB0140,4798,4,Monaghan-1
218,48-2919,48-2919,Wicklow,Deer,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/48-2919_S59_L001-4_R1_001.fastq.gz,1,SB0054,48-2919,5,Wicklow-1
219,48-MBovis,48-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/48-MBovis_S17_L001-4_R2_001.fastq.gz,1,SB0054,48-MBovis,5,Wicklow-1
220,49-MBovis,49-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/49-MBovis_S40_L001-4_R1_001.fastq.gz,1,SB0054,49-MBovis,5,Wicklow-1
221,4941,4941,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4941_S63_L001-4_R1_001.fastq.gz,1,SB0140,4941,4,Monaghan-1
222,4945,4945,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4945_S75_L001-4_R2_001.fastq.gz,1,SB0980,4945,4,Monaghan-1
223,4946,4946,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4946_S30_L001-4_R1_001.fastq.gz,1,SB0140,4946,4,Monaghan-1
224,4947,4947,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4947_S15_L001-4_R2_001.fastq.gz,1,SB0140,4947,4,Monaghan-1
225,4948,4948,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4948_S8_L001-4_R2_001.fastq.gz,1,,4948,6,Monaghan-3
226,4960,4960,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4960_S92_L001-4_R2_001.fastq.gz,1,SB0140,4960,4,Monaghan-1
