SB,binary,octal,hexadecimal
SB1233,1100111101110110111111111111111011111100000,636733777757600,67-5D-5F-7F-EF-60
SB1234,1100011101111110111111111111110000111100000,616773777703600,63-5F-5F-7F-C3-60
SB1235,1101101000001110111111111111111111110000000,664073777777000,6D-03-5F-7F-FF-00
SB1236,1101101000001100000000000000000000000000000,664060000000000,6D-03-00-00-00-00
SB1237,1101101000001110111111111110000111111100000,664073777037600,6D-03-5F-7E-1F-60
SB1238,1101101000001110111111111000001111111100000,664073774077600,6D-03-5F-78-3F-60
SB1239,0001111000000000000000110100000000001000011,074000032000411,0F-00-00-34-00-43
SB1240,1111110101111111111000000000000000011101100,772777400001660,7E-5F-7C-00-01-6C
SB1241,0101100000001000000100000000000100001000000,260040200020400,2C-02-02-00-10-40
SB1242,0101100000001000000100000001000100001000000,260040200420400,2C-02-02-01-10-40
SB1243,1101100000001000001111000000000100101000000,660040740022400,6C-02-07-40-12-40
SB1244,1101100000001000001111101111111100101000000,660040767762400,6C-02-07-6F-F2-40
SB1245,1100000000000110111110011111111111111100000,600033717777600,60-01-5F-1F-FF-60
SB1246,0000101000001110111111111111111000001100000,024073777740600,05-03-5F-7F-E0-60
SB1247,1101101000001110111001111111111111111100000,664073477777600,6D-03-5C-7F-FF-60
SB1249,1101101000000000000000011111111111111100000,664000017777600,6D-00-00-1F-FF-60
SB1250,1101101000000000001111111000000111111100000,664000774037600,6D-00-07-78-1F-60
SB1251,1100111101001110111111111111111111111100000,636473777777600,67-53-5F-7F-FF-60
SB1252,1100000101001110111111111111111111111100000,602473777777600,60-53-5F-7F-FF-60
SB1253,1101111101101110111101111100011111111100000,676673676177600,6F-5B-5E-7C-7F-60
SB1254,1101111101111110111101111110111111111100000,676773677377600,6F-5F-5E-7E-FF-60
SB1255,1101111101111110100000111111111111111100000,676772037777600,6F-5F-50-3F-FF-60
SB1256,0000001101111110111111111111111111111100000,006773777777600,01-5F-5F-7F-FF-60
SB1257,1101111101011110111101111111111111111100000,676573677777600,6F-57-5E-7F-FF-60
SB1258,1101111101111110111101101000011111111100000,676773664177600,6F-5F-5E-68-7F-60
SB1259,1101111100000110111101111111111111111100000,676033677777600,6F-41-5E-7F-FF-60
SB1260,1101111101110100111111111111111111111100000,676723777777600,6F-5D-1F-7F-FF-60
SB1261,1101111100011110111101111111111111111100000,676173677777600,6F-47-5E-7F-FF-60
SB1262,1000000000000000000001111000000111111100000,400000074037600,40-00-00-78-1F-60
SB1263,1101111101011110111100001000111111111100000,676573604377600,6F-57-5E-08-FF-60
SB1264,1001111101111100111101111111111111111100000,476763677777600,4F-5F-1E-7F-FF-60
SB1265,1100011101111100111111111111111111111100000,616763777777600,63-5F-1F-7F-FF-60
SB1266,0101111101111100111101111111111111111100000,276763677777600,2F-5F-1E-7F-FF-60
SB1267,1101101100011110111101111111111111111100000,666173677777600,6D-47-5E-7F-FF-60
SB1268,1101111101111000111101111111111111110100000,676743677777200,6F-5E-1E-7F-FF-20
SB1269,1101111100111000111101111111111111111100000,676343677777600,6F-4E-1E-7F-FF-60
SB1270,1101111000111000011101111111111111111100000,674341677777600,6F-0E-0E-7F-FF-60
SB1271,1100111000111000111101111111111111111100000,634343677777600,67-0E-1E-7F-FF-60
SB1272,1101111000111000111111111111111111111100000,674343777777600,6F-0E-1F-7F-FF-60
SB1273,1101111000111000111101111111111111111100000,674343677777600,6F-0E-1E-7F-FF-60
SB1274,1100111101110100111111111111111111111100000,636723777777600,67-5D-1F-7F-FF-60
SB1275,1101111101111110111101111111101111111100000,676773677677600,6F-5F-5E-7F-BF-60
SB1276,1101111101111110111101111111101011111100000,676773677657600,6F-5F-5E-7F-AF-60
SB1277,1100000101000110111111111111111111111000000,602433777777400,60-51-5F-7F-FF-40
SB1278,1101110101111110111101111111111111011100000,672773677775600,6E-5F-5E-7F-FD-60
SB1279,1101111101111000000000001111111111111100000,676740007777600,6F-5E-00-0F-FF-60
SB1280,1001111001111110111101111000011111111100000,474773674177600,4F-1F-5E-78-7F-60
SB1281,1101001101111100111111111111111101111100000,646763777767600,69-5F-1F-7F-F7-60
SB1282,1101111101111100111101111111111111110000000,676763677777000,6F-5F-1E-7F-FF-00
SB1283,1101111101011100111101111111111111000000000,676563677774000,6F-57-1E-7F-FC-00
SB1284,1101111101011110111101111111111111000000000,676573677774000,6F-57-5E-7F-FC-00
SB1285,1101111100011000111101111111001111111100000,676143677477600,6F-46-1E-7F-3F-60
SB1286,1101111101011110111101111111001111111100000,676573677477600,6F-57-5E-7F-3F-60
SB1287,1101111101011100111101111111001111111100000,676563677477600,6F-57-1E-7F-3F-60
SB1288,1101111101011110111101111111011111111100000,676573677577600,6F-57-5E-7F-7F-60
SB1289,1101111101111110111101111111111111100100000,676773677776200,6F-5F-5E-7F-FE-20
SB1290,1101111101111110110101111111111011111100000,676773277757600,6F-5F-5A-7F-EF-60
SB1291,1100010101111110111101111111111111111100000,612773677777600,62-5F-5E-7F-FF-60
SB1292,1100111101011110111101111111111111111100000,636573677777600,67-57-5E-7F-FF-60
SB1293,1101111101111110111101101100011111111100000,676773666177600,6F-5F-5E-6C-7F-60
SB1294,0000000000000110111111111111111111111100000,000033777777600,00-01-5F-7F-FF-60
